Account_ID,Customer_Name,Age,Gender,Account_Type,Balance,Transaction_Amount,Transaction_Type,Transaction_Date,Branch,IFSC_Code,Loan_Status,Credit_Score,KYC_Status,Account_Status
A12163,Sara,21,Female,Savings,152758,43213,,2021-07-21,Chennai,AXIS004,Rejected,890,Rejected,Dormant
A10976,Ravi,67,Other,Loan,139755,27871,Credit,2021-03-23,Delhi,,Approved,871,Verified,Active
A10755,,60,,Credit,145755,21724,Debit,2023-07-29,Chennai,,Rejected,748,,Active
A12046,Ravi,18,,Current,88645,11221,Debit,2021-09-30,Bangalore,ICICI003,Pending,711,Verified,Dormant
A11871,John,24,Male,,82095,12549,,2023-10-11,Mumbai,ICICI003,Pending,480,,Closed
A12496,,51,Female,Current,72387,40262,Debit,2025-12-16,Bangalore,,Pending,300,Verified,
A12898,Ravi,47,,Savings,138969,37977,,2023-04-03,Mumbai,ICICI003,Approved,477,Verified,Closed
A10099,Amit,39,,Current,59425,776,Debit,2025-03-23,Bangalore,AXIS004,Pending,839,Rejected,
A12008,Sara,32,Other,Credit,46982,9935,Debit,2024-04-26,Mumbai,,Approved,464,,
A13249,John,70,Female,Credit,145809,26234,,2024-09-19,Chennai,HDFC001,Pending,814,Rejected,
A10755,Amit,40,Male,Savings,126818,-309,Debit,2025-11-28,Chennai,HDFC001,Approved,374,Rejected,Active
A10797,Neha,45,,Credit,192646,19641,,2023-03-12,Bangalore,AXIS004,,750,,Active
A10659,Sara,21,Other,Current,80100,35865,Credit,2024-07-03,Bangalore,SBI002,Pending,401,Verified,Active
 ,Neha,67,Other,,17136,12958,Credit,2021-07-10,,,Approved,568,Pending,Dormant
A12958,Priya,48,Other,Savings,151319,3439,Debit,2021-12-30,Chennai,ICICI003,Approved,799,,Dormant
A10423,,57,Other,,70356,38414,Debit,2021-11-09,Delhi,SBI002,,395,Rejected,Closed
A13360,Neha,64,Other,Loan,160614,12647,Credit,2024-06-29,Chennai,HDFC001,Rejected,715,Rejected,Dormant
A13337,John,41,Female,,161350,24237,Credit,2022-09-22,Bangalore,HDFC001,Pending,864,Rejected,Active
A12745,Amit,42,Other,Credit,40170,-4404,,2023-02-06,Chennai,HDFC001,,633,Pending,Closed
A10639,Sara,61,Female,Current,186624,35323,,2025-01-01,Chennai,AXIS004,Rejected,579,Rejected,
A10544,John,31,Other,,58254,-12902,Debit,2021-08-30,,HDFC001,Pending,636,,Dormant
A12591,Ravi,50,Male,,109798,-19335,Credit,2025-04-23,,HDFC001,,640,Verified,
A10714,Sara,50,Female,Current,66171,10710,Credit,2022-05-23,Chennai,SBI002,Rejected,659,Pending,
A12292,John,68,Male,Savings,190629,-7378,,2021-04-15,Mumbai,ICICI003,Pending,331,Pending,Dormant
A10151,Sara,72,,Current,131312,17289,Debit,2024-08-12,Mumbai,AXIS004,,414,Rejected,
A12723,Sara,67,Female,Loan,51063,36503,Credit,2025-12-02,,ICICI003,Approved,698,Verified,Active
A12558,,43,Other,,138015,31999,Credit,2022-03-27,Pune,AXIS004,Approved,363,Verified,Dormant
A12930,John,27,Other,Current,81980,32746,Debit,2022-05-19,Bangalore,AXIS004,Rejected,482,Pending,Active
A11207,Neha,55,Female,,520,24215,Debit,2022-01-29,,ICICI003,,664,,Dormant
A12076,,62,,Savings,65416,-14471,,2025-06-01,Pune,ICICI003,,425,Rejected,Active
A10802,Neha,35,Other,,197990,12678,Debit,2021-04-03,,,Rejected,594,Pending,Dormant
A12176,,41,Female,,52249,48296,Credit,2023-11-28,Delhi,HDFC001,Approved,638,Verified,
A12176,John,53,Female,Current,61772,19078,Credit,2025-01-15,Delhi,SBI002,Rejected,728,Rejected,Closed
A11956,Sara,,Other,Savings,160465,-14744,Debit,2024-01-12,Pune,HDFC001,,776,Pending,Active
A13125,Neha,53,Other,Loan,81272,-6360,Credit,2024-03-17,Pune,,,618,,Dormant
A11925,Amit,52,,Current,130881,-4292,Debit,2025-10-24,Pune,AXIS004,Rejected,669,,Dormant
A10756,Ravi,38,Other,Current,190005,7838,Credit,2021-07-13,Delhi,ICICI003,,536,Verified,
A10273,Ravi,23,Female,Savings,153837,1390,,2023-06-05,Pune,,Pending,599,Rejected,Closed
A12383,Amit,38,Male,Credit,18490,25706,,2023-08-03,Delhi,SBI002,,559,,
A10388,,24,Female,,32975,-13148,,2024-03-07,Mumbai,ICICI003,Pending,818,Pending,Active
A11641,Amit,26,Female,Current,7013,-5793,Credit,2022-04-09,Delhi,ICICI003,Pending,411,Verified,Closed
A13114,Amit,18,,Savings,55977,9405,Debit,2025-01-13,Mumbai,AXIS004,Pending,312,Pending,
A11466,Sara,62,Other,Current,46338,22854,Debit,2025-04-28,Bangalore,,Pending,321,,
A12591,Neha,43,Other,Savings,154546,20632,Credit,2024-10-15,Mumbai,ICICI003,Approved,700,Rejected,
A10888,Amit,56,,Savings,19618,13251,Debit,2023-12-12,Pune,AXIS004,Rejected,664,Rejected,Dormant
A10257,John,25,Other,Loan,70308,-12755,,2024-07-24,Delhi,SBI002,Approved,821,Verified,Closed
A11345,Priya,27,Male,Savings,125301,14461,,2023-11-07,Mumbai,AXIS004,Approved,689,Verified,Active
A12105,Ravi,24,Male,Savings,60789,37278,Credit,2024-02-01,Delhi,ICICI003,Approved,373,Verified,Closed
A12339,Ravi,47,Female,Credit,142084,39628,,2023-06-22,Chennai,HDFC001,Pending,545,Rejected,Active
A13191,Amit,23,Female,,142594,19947,Debit,2022-07-09,Mumbai,SBI002,,669,Verified,Closed
A12827,Neha,54,Female,Loan,98521,24709,,2024-01-27,Pune,AXIS004,,788,Verified,
A10430,Amit,47,,,39320,34019,Debit,2021-01-07,Delhi,ICICI003,Approved,878,Verified,Closed
A13154,John,57,Male,Current,164264,47138,Debit,2025-08-18,Mumbai,AXIS004,Pending,526,Rejected,
A10091,Amit,37,Male,Loan,188583,1777,Debit,2025-02-05,Pune,HDFC001,,576,Pending,
A11920,Sara,65,Female,Loan,126033,673,,2021-07-06,,,Pending,345,Verified,Active
A12446,,40,,Savings,24854,23318,Credit,2021-12-13,Delhi,AXIS004,Approved,544,Verified,
A12659,,21,Female,Credit,193166,34529,Credit,2022-04-19,Chennai,SBI002,Approved,305,Verified,
A11589,,25,Other,Savings,174891,33171,Debit,2023-07-03,,SBI002,Approved,438,,Closed
A12956,,74,Male,Credit,74153,47901,Debit,2025-09-28,Delhi,,,392,,Closed
A12681,Amit,47,Female,Loan,86048,-633,Debit,2025-01-06,Chennai,ICICI003,Pending,853,,Active
A10084,Sara,38,,Loan,46084,24564,,2023-03-29,Pune,HDFC001,,319,Rejected,
A12251,Neha,26,Female,Credit,129263,-5862,Debit,2021-06-08,Delhi,HDFC001,,783,Pending,Active
A10324,,36,Male,Savings,151172,7672,Debit,2021-05-20,Pune,ICICI003,Approved,789,Pending,Active
A10774,Priya,40,Other,Savings,18068,-4907,Debit,2023-11-11,Mumbai,SBI002,,708,Rejected,Active
A13012,,40,Other,Loan,32613,34287,Credit,2023-09-27,Pune,,Pending,497,Rejected,Closed
A11071,Neha,39,Male,Savings,42186,-11325,Credit,2023-04-07,,ICICI003,,616,Rejected,
A10639,John,64,Female,Loan,21291,3744,Credit,2022-10-20,Mumbai,,Approved,544,Rejected,
A12036,Neha,57,Male,Loan,118051,-4206,Debit,2024-06-29,Bangalore,AXIS004,,511,Rejected,Dormant
A11155,Sara,74,,Current,65698,16217,Debit,2024-01-17,,AXIS004,Pending,792,,Active
A10972,Neha,52,,Credit,160318,-18050,Credit,2023-01-01,Pune,HDFC001,,408,Verified,Dormant
A12916,Sara,52,Female,Credit,87982,-6950,,2024-10-25,,SBI002,,861,Pending,
A11204,John,34,Male,Current,132177,39091,,2023-06-15,Delhi,,,603,Verified,Active
A12024,Sara,31,,Current,148112,13296,,2025-03-24,Chennai,HDFC001,,346,Verified,Active
A11167,Amit,46,Other,,193404,32637,Debit,2023-02-06,,ICICI003,Approved,730,Rejected,
A11684,,74,Female,Loan,90804,29517,,2023-08-31,Pune,ICICI003,,574,Pending,Closed
A13299,Neha,31,,,69700,46890,,2022-07-11,Pune,HDFC001,Pending,319,Pending,Dormant
A13002,,51,Female,Loan,37766,-10090,Debit,2022-06-18,Mumbai,HDFC001,Approved,529,Rejected,Closed
A12839,,44,Other,Credit,121134,23816,Debit,2022-10-27,Delhi,,Approved,531,Pending,Active
A12767,Ravi,31,Other,,159402,40888,,2022-01-16,Pune,HDFC001,Approved,500,Rejected,Dormant
A12957,,,Other,Loan,118568,-18430,Debit,2024-08-18,Mumbai,AXIS004,Approved,740,Verified,Dormant
A10373,Amit,28,Female,Credit,131332,13544,,2024-07-01,Delhi,,Pending,360,Rejected,Dormant
A11877,Priya,41,Other,Credit,72720,39444,Debit,2021-11-21,,HDFC001,,538,Pending,
A10560,,39,,Current,122455,-7924,Credit,2024-12-15,Mumbai,SBI002,Rejected,687,Pending,Active
A11329,,45,Other,Current,118462,19826,,2024-12-20,,ICICI003,Approved,528,Pending,Closed
A11605,Sara,63,,,71167,29627,,2023-10-06,Delhi,AXIS004,Pending,503,Rejected,
A12217,Priya,73,Female,Savings,27649,-16710,Credit,2023-04-07,Chennai,HDFC001,Approved,505,Verified,
A11699,Priya,39,Other,Savings,93636,49335,,2025-12-24,,AXIS004,Pending,769,,Dormant
A11472,Priya,49,Male,Credit,119468,22946,Debit,2023-07-19,Delhi,ICICI003,,723,,Closed
A13167,Amit,56,,Loan,39453,-10763,Debit,2022-01-04,Delhi,SBI002,Approved,373,,
A13269,Amit,36,,,153647,-4948,Debit,2022-04-05,,HDFC001,,528,Rejected,
A10256,Amit,45,Male,,159569,40518,Debit,2023-12-15,Pune,AXIS004,,414,Pending,Closed
A11905,,44,,,62656,33643,Credit,2023-07-02,Pune,,Pending,349,Pending,Active
A11316,,41,Male,Loan,4117,-10852,,2024-06-09,Chennai,AXIS004,Rejected,467,Rejected,Closed
A11954,Amit,25,,Credit,36381,-7461,Debit,2021-03-17,,AXIS004,Pending,587,Verified,
A10816,Sara,31,Other,Loan,174400,20631,,2021-09-21,Chennai,,Rejected,636,Verified,Dormant
A12435,Neha,38,Female,,168031,5820,,2023-05-12,,HDFC001,Pending,427,Verified,Closed
A11634,Neha,48,Other,Loan,199811,6894,,2021-06-10,Mumbai,HDFC001,,664,Pending,Closed
A10973,Amit,53,,Credit,194771,36668,Debit,2021-11-09,Pune,HDFC001,Approved,633,Rejected,
A10368,Ravi,28,Male,Savings,96320,28560,Credit,2021-03-02,Bangalore,ICICI003,Rejected,519,,Dormant
A12023,Neha,53,Other,,57484,46110,,2025-07-23,Delhi,,Rejected,722,Verified,
A12965,Sara,23,Other,Savings,180633,28606,Credit,2024-12-03,Delhi,SBI002,Approved,590,Rejected,Dormant
A10201,,55,Female,Current,24209,42607,,2025-02-17,Chennai,,Rejected,695,,
A12431,Sara,40,Male,Savings,99782,7036,,2023-03-27,Pune,,Approved,625,Pending,
A11536,Neha,51,Male,Current,78081,8936,Credit,2021-12-17,Pune,,Approved,338,Verified,Dormant
A11930,Sara,36,Male,Loan,133137,-2236,,2022-01-14,Pune,AXIS004,,548,Rejected,Dormant
A12418,Sara,18,,Current,75993,17740,Debit,2022-04-06,Mumbai,ICICI003,Pending,753,Rejected,Dormant
A10555,John,49,Other,Savings,-2708,25523,Credit,2024-10-04,Chennai,,Rejected,804,Rejected,
A10954,Sara,62,Male,Credit,44448,28655,,2025-06-27,,AXIS004,Approved,845,,Active
A13455,Neha,48,Other,Credit,23365,47666,Debit,2024-04-25,,,,588,Rejected,Active
A12071,Neha,63,Male,Savings,100166,7497,Credit,2025-07-09,,ICICI003,Rejected,869,Pending,Dormant
A11723,Priya,20,Female,Savings,77635,17563,Credit,2024-11-12,,AXIS004,Pending,442,,
A10130,Priya,39,Male,Current,199805,27680,Credit,2023-04-23,Pune,SBI002,Rejected,852,,
A12425,,36,Male,Savings,190608,13335,,2024-12-07,Delhi,SBI002,Rejected,452,Pending,Dormant
A12146,Ravi,34,Female,Savings,186739,3217,Debit,2024-02-09,Mumbai,ICICI003,,826,,Dormant
A10931,Amit,53,Other,Savings,62962,40733,Debit,2021-03-17,Delhi,,Approved,313,Rejected,Active
A12782,Neha,30,Male,Savings,23394,-2655,Credit,2023-08-13,Bangalore,HDFC001,Rejected,416,Rejected,
A12171,Sara,26,Male,,41786,30945,Debit,2022-01-14,Bangalore,,,381,Verified,Closed
A11987,Priya,44,Female,,55290,7638,,2021-03-10,Mumbai,AXIS004,,326,,Dormant
A12642,Priya,53,,Credit,-3071,14730,,2021-08-10,Bangalore,SBI002,Approved,382,,Closed
A11966,Ravi,27,,Current,3160,31060,,2025-12-25,Mumbai,HDFC001,Approved,808,Verified,Closed
A12787,John,49,Female,Credit,49977,7118,,2023-07-02,,AXIS004,Approved,417,Rejected,Active
A13220,,62,Other,Credit,118117,19275,Debit,2023-11-29,Bangalore,HDFC001,Rejected,582,Rejected,Dormant
A10209,Priya,67,Female,Current,32614,48644,Debit,2021-01-08,Delhi,,,588,Pending,Dormant
A12610,Ravi,61,Male,Current,72820,10883,Debit,2024-07-30,,ICICI003,Approved,401,,Active
A11435,Sara,65,Male,Credit,107679,-3857,Credit,2021-06-27,Bangalore,HDFC001,Approved,658,Verified,
A12830,Neha,18,Other,Savings,137401,32169,Credit,2022-08-27,Delhi,HDFC001,,573,,Dormant
A13113,,63,Female,Savings,5231,9543,Debit,2023-12-10,Chennai,ICICI003,Pending,899,Verified,Dormant
A13130,,72,Other,Loan,188193,-16990,Debit,2022-08-28,,HDFC001,Pending,353,Verified,Active
A12753,Ravi,38,Female,Loan,174279,-3699,Credit,2023-09-03,,,Pending,756,Verified,Active
A13108,,46,Male,Loan,34559,36060,Credit,2022-04-12,Mumbai,HDFC001,Pending,885,,Dormant
A12826,Sara,56,Male,Credit,115687,39279,Credit,2024-03-28,Chennai,SBI002,Approved,861,Pending,Dormant
A10086,John,54,Other,Current,197873,34380,Credit,2023-12-12,Pune,,Pending,471,Pending,Active
A13115,Priya,48,Female,,10272,32778,,2024-01-13,Bangalore,AXIS004,Pending,317,Pending,Dormant
A10872,Ravi,51,Male,Current,150812,16694,Credit,2022-04-26,Bangalore,SBI002,,487,Rejected,Closed
A12059,Sara,53,Male,,75685,-8354,,2025-05-13,Mumbai,HDFC001,Approved,891,Rejected,Active
A12818,Amit,59,Female,Current,33944,14283,,2024-12-06,Delhi,,,867,,
A10307,Neha,72,Other,Current,72390,-12971,,2024-10-31,Mumbai,ICICI003,Approved,566,Verified,Dormant
A11104,Sara,44,Other,,60325,-740,Credit,2022-05-25,Chennai,SBI002,,758,Pending,Closed
A12080,Amit,64,Other,Savings,98726,49552,,2024-11-07,Delhi,,Rejected,465,Pending,Dormant
A11206,Neha,36,,Loan,155933,10797,,2021-03-14,,AXIS004,,304,Rejected,Active
A11152,Priya,42,Other,Credit,17516,-6367,Credit,2022-01-24,Mumbai,SBI002,Approved,721,Pending,Dormant
A12854,Neha,42,Other,Credit,9308,42836,Debit,2022-02-16,Mumbai,SBI002,Approved,610,Pending,Active
A10275,Neha,32,Male,Savings,138774,23459,,2025-04-25,Delhi,AXIS004,Approved,469,,Dormant
A11198,Amit,46,Female,Savings,148227,31190,Credit,2022-12-07,,SBI002,Pending,378,Pending,
A11578,Ravi,68,Other,Credit,184780,14660,Debit,2023-04-22,Pune,ICICI003,Rejected,453,,
A11395,Priya,59,,,162286,28112,,2022-03-14,,ICICI003,Pending,593,Rejected,Active
A11208,Amit,37,Male,Credit,115745,10787,Credit,2024-06-04,Chennai,,Approved,348,Rejected,Active
A12492,,20,Other,Current,146287,-18395,Debit,2022-12-28,Pune,HDFC001,Approved,879,Verified,Dormant
A12536,Amit,60,Other,,73832,-14213,,2022-09-21,Bangalore,ICICI003,Rejected,859,Verified,
A12334,Sara,67,,Savings,72098,31594,Debit,2021-03-06,,AXIS004,Approved,479,Pending,Closed
A11304,Sara,47,,Credit,39840,2766,Debit,2025-10-23,Pune,SBI002,,452,Rejected,Closed
A10637,John,19,Male,Savings,103555,3302,Debit,2025-04-21,Mumbai,,Pending,572,,Closed
A10770,Amit,39,,,157337,-15583,Credit,2023-11-25,Chennai,,Rejected,325,Rejected,Dormant
A10094,Amit,72,Other,Current,10144,46883,,2021-02-19,Bangalore,SBI002,Pending,408,,Closed
A13298,John,35,Female,Current,147371,-15201,Debit,2022-04-18,Bangalore,HDFC001,,480,Pending,Closed
A11899,Amit,73,,Savings,107118,46916,,2025-07-29,Delhi,ICICI003,,463,,Active
A13341,Amit,43,Other,,45196,13163,Debit,2024-03-14,Mumbai,AXIS004,,824,Rejected,Closed
A11904,John,32,Male,Current,92250,30024,Debit,2025-01-20,Pune,HDFC001,Pending,359,,
A12344,John,,Female,Current,9993,-3582,Debit,2022-12-23,Mumbai,SBI002,Approved,873,Rejected,Closed
A11352,John,40,Male,Current,101503,30435,Credit,2022-03-18,Pune,,Rejected,667,,Closed
A13091,Neha,33,Other,,114877,-8063,Credit,2024-04-01,Pune,AXIS004,Pending,540,Pending,Dormant
A10607,Sara,68,Female,Current,143296,25699,,2023-12-27,Delhi,AXIS004,Approved,423,,Dormant
A11434,John,36,Male,,33575,22221,,2025-12-06,Chennai,,Rejected,714,,Active
A12498,Neha,29,Other,Savings,15259,11079,Credit,2025-05-31,Chennai,ICICI003,Approved,804,Pending,Closed
A11272,Priya,72,Male,,141866,45174,Credit,2021-04-15,Mumbai,HDFC001,Rejected,802,Verified,
A10180,Sara,42,,Savings,54325,16429,,2025-05-04,,,,879,,Active
A12371,John,23,Other,Savings,57062,-16710,,2025-05-12,Pune,SBI002,Rejected,565,Pending,Active
A13052,Priya,61,Female,Current,102179,-17025,Credit,2021-07-19,Bangalore,AXIS004,Rejected,363,,Active
A13332,Amit,24,Other,Savings,178844,-14842,Debit,2024-05-26,Bangalore,HDFC001,,425,Verified,
A10749,Amit,59,Female,Savings,135190,-11119,,2021-11-08,Delhi,AXIS004,Rejected,329,Verified,
A12187,Sara,61,,Loan,140792,19049,Debit,2022-12-26,,HDFC001,Rejected,688,Verified,Dormant
A11020,Ravi,65,Male,Loan,88338,49863,Debit,2022-09-12,Chennai,AXIS004,,462,Verified,
A12646,Sara,30,Female,Loan,122346,-8387,,2024-04-05,Chennai,,Approved,745,Pending,Active
A12937,Neha,30,Male,Credit,156606,43340,Debit,2024-04-15,Pune,HDFC001,,410,,Closed
A11645,Amit,63,Other,,167754,23656,Debit,2025-11-13,Pune,ICICI003,Pending,403,Pending,
A10843,Priya,55,Other,,175756,32192,Credit,2021-09-07,,SBI002,Approved,595,Pending,Closed
A12744,Priya,36,Female,Loan,31330,-19496,Debit,2022-12-29,Delhi,SBI002,Approved,590,Verified,Dormant
A11552,Amit,27,,Current,30604,-17710,,2024-01-28,,HDFC001,Pending,308,,Active
A13224,John,26,Other,Loan,40868,29211,,2022-09-29,Pune,,Pending,899,Pending,Active
A10925,Neha,71,Male,,167308,24120,Debit,2023-09-24,Mumbai,SBI002,Pending,857,,Dormant
A12197,,58,Other,Loan,-2256,44990,,2022-10-04,Chennai,ICICI003,Rejected,487,Pending,
A11134,Ravi,26,Other,Current,148550,-3605,,2024-02-11,Mumbai,HDFC001,Approved,595,Rejected,Dormant
A10025,Neha,18,,,58552,-16295,Credit,2023-10-11,,SBI002,Approved,714,Verified,
A11488,Neha,50,Male,Savings,166695,-5239,Debit,2023-05-06,Chennai,AXIS004,Pending,365,Pending,Dormant
A10956,Neha,30,Female,Current,135534,7171,,2024-02-09,,SBI002,Pending,833,Verified,
A11913,Neha,70,Other,Credit,54675,-12585,Credit,2025-09-19,,ICICI003,,374,Rejected,Closed
A12934,Ravi,38,Other,Loan,29518,-19462,,2024-12-20,Mumbai,,Approved,471,Verified,Closed
A11141,Neha,,Other,,160042,4179,,2025-02-25,Chennai,ICICI003,Approved,819,Verified,Closed
A11469,,71,,Current,90981,25186,,2025-03-30,Chennai,,Rejected,340,Pending,Dormant
A11619,,68,Other,Credit,183961,-15514,Debit,2021-06-22,,HDFC001,Pending,877,Verified,Dormant
A12721,,33,Other,,53582,48913,Credit,2023-06-30,Bangalore,AXIS004,,405,Rejected,Active
A11896,Ravi,41,Female,,47249,37109,Credit,2023-01-09,Bangalore,SBI002,,427,Verified,Closed
A10928,,72,Female,Loan,117456,-16152,Credit,2021-02-02,Mumbai,HDFC001,,326,Verified,Closed
A13300,Sara,62,Male,Current,5366,19783,Debit,2024-06-21,Bangalore,,Pending,630,Pending,
A11531,Priya,35,Female,Savings,38544,23968,,2022-11-20,Delhi,HDFC001,Approved,709,Rejected,Active
A12811,Neha,41,Male,,154871,-1329,Credit,2021-11-09,Delhi,HDFC001,Rejected,708,Pending,Closed
A12169,,27,Female,Current,54755,-3902,Debit,2025-02-14,Chennai,ICICI003,Approved,898,Rejected,
A11350,John,63,Male,Credit,131223,-9414,,2025-12-14,Pune,SBI002,Approved,730,,Closed
A10469,Ravi,52,Male,Savings,182200,13312,Debit,2024-02-29,Delhi,ICICI003,,810,Verified,Closed
A12335,Priya,50,Other,,34102,27868,Credit,2025-10-01,Chennai,,,584,Verified,Active
A10525,Priya,59,,Loan,130785,26550,,2022-02-09,Pune,HDFC001,Approved,504,Rejected,Dormant
A11863,,24,Male,Loan,59933,15219,Credit,2023-07-25,Chennai,,Pending,873,Verified,Dormant
A11720,Ravi,73,,Savings,186997,38344,,2022-07-05,Pune,SBI002,Rejected,464,Verified,
A11176,,45,Other,,56865,49094,,2022-10-05,Delhi,SBI002,Rejected,353,Verified,Closed
A10591,Priya,53,Male,,111342,28693,Credit,2022-03-11,Chennai,HDFC001,,731,,Dormant
A12089,Neha,37,Male,Credit,54056,27848,,2024-11-18,Bangalore,HDFC001,Approved,810,Verified,Dormant
A12322,,56,,Credit,141540,6109,,2021-04-01,Pune,,Pending,610,Pending,Dormant
A10207,John,19,Other,Loan,170369,12348,Debit,2024-02-11,Bangalore,HDFC001,Rejected,548,Verified,
A12827,Priya,51,,Loan,174133,3072,Debit,2025-05-18,Pune,ICICI003,Pending,525,,Active
A10166,Priya,55,,,111351,14045,Debit,2021-08-22,Chennai,,Rejected,768,,Active
A12159,John,51,Female,Current,152524,11375,Debit,2021-05-02,Pune,ICICI003,Approved,466,,
A13421,Neha,51,Female,Credit,-4208,25675,,2025-06-24,Delhi,,Approved,502,Rejected,Closed
A11153,John,21,Female,Savings,51614,24895,Debit,2024-04-06,Delhi,ICICI003,Rejected,800,Verified,Closed
A12783,Ravi,40,Other,Savings,60783,20670,Credit,2022-10-22,Bangalore,ICICI003,Pending,495,Rejected,
A11910,Priya,55,Other,Savings,145051,-9291,,2021-04-26,,ICICI003,Rejected,790,Rejected,Closed
A12860,,68,Female,Loan,21181,11202,Debit,2024-06-05,Mumbai,,Approved,880,Verified,Closed
A10216,Neha,51,Other,Current,73758,13755,,2025-03-18,Bangalore,AXIS004,Pending,546,Verified,Dormant
A13453,Neha,21,Other,Savings,89435,10920,,2024-03-22,Bangalore,,Pending,350,Rejected,Closed
A10024,Neha,31,Female,Loan,63452,41092,Credit,2021-11-17,Mumbai,HDFC001,Pending,550,Verified,Dormant
A10067,Sara,52,Female,Credit,126653,35962,Debit,2023-11-01,Chennai,AXIS004,Pending,560,Rejected,Dormant
A13026,Neha,33,Female,Credit,156049,-10985,Debit,2025-04-21,Pune,ICICI003,Approved,824,Pending,
A11007,Amit,61,,Current,88199,3589,Credit,2022-12-09,Delhi,ICICI003,Rejected,562,,Closed
A12282,,51,Female,Loan,25977,8268,,2024-07-29,Bangalore,HDFC001,Rejected,507,Pending,Active
A11740,Amit,48,Female,,72054,-13846,Debit,2024-03-25,Chennai,,Approved,346,,Active
A12022,Ravi,59,,Credit,192814,6335,Debit,2021-07-02,Delhi,,,642,Rejected,Dormant
A10291,Sara,46,Female,Loan,96153,42804,Debit,2024-01-19,Mumbai,AXIS004,Approved,739,Rejected,Active
A11750,,27,Other,Current,140095,38413,Credit,2023-02-01,Chennai,AXIS004,,748,,Dormant
A11022,Sara,29,Other,Credit,32422,17143,Credit,2024-07-15,Bangalore,HDFC001,,673,Verified,
A12749,John,43,Male,Loan,106069,25835,Credit,2024-05-17,Chennai,SBI002,Approved,471,Verified,Dormant
A12775,Neha,66,,,135378,3489,Credit,2021-12-09,Delhi,ICICI003,Pending,894,,Dormant
A12603,Amit,,Other,,140592,-3309,Debit,2025-09-24,Chennai,SBI002,Approved,657,Verified,Dormant
A12080,Sara,27,Male,Current,156882,6492,Debit,2022-06-05,,AXIS004,Approved,537,,Closed
A13083,Amit,50,Female,Credit,133635,-7389,,2023-11-11,Mumbai,HDFC001,,848,Verified,Dormant
